Continent,CountryName,Government,CountryCode,Region,IncomeGroup
Asia,Bhutan,Constitutional Monarchy,BTN,South Asia,Lower middle income
Asia,Cambodia,Constitutional Monarchy,KHM,East Asia & Pacific,Lower middle income
Asia,China,Republic,CHN,East Asia & Pacific,Upper middle income
Asia,India,Republic,IND,South Asia,Lower middle income
Asia,Indonesia,Republic,IDN,East Asia & Pacific,Upper middle income
Asia,Iraq,Republic,IRQ,Middle East & North Africa,Upper middle income
Asia,Israel,Republic,ISR,Middle East & North Africa,High income
Asia,Japan,Constitutional Monarchy,JPN,East Asia & Pacific,High income
Asia,Jordan,Constitutional Monarchy,JOR,Middle East & North Africa,Upper middle income
Asia,Kazakhstan,Republic,KAZ,Europe & Central Asia,Upper middle income
Asia,Kuwait,Constitutional Monarchy,KWT,Middle East & North Africa,High income
Asia,Lebanon,Republic,LBN,Middle East & North Africa,Upper middle income
Asia,Malaysia,Republic,MYS,East Asia & Pacific,Upper middle income
Asia,Maldives,Republic,MDV,South Asia,Upper middle income
Asia,Mongolia,Republic,MNG,East Asia & Pacific,Lower middle income
Asia,Nepal,Republic,NPL,South Asia,Lower middle income
Asia,Oman,Absolute Monarchy,OMN,Middle East & North Africa,High income
Asia,Pakistan,Republic,PAK,South Asia,Lower middle income
Asia,Philippines,Republic,PHL,East Asia & Pacific,Lower middle income
Asia,Qatar,Absolute Monarchy,QAT,Middle East & North Africa,High income
Asia,Saudi Arabia,Republic,SAU,Middle East & North Africa,High income
Asia,Singapore,Republic,SGP,East Asia & Pacific,High income
Asia,Sri Lanka,Republic,LKA,South Asia,Lower middle income
Asia,Tajikistan,Republic,TJK,Europe & Central Asia,Low income
Asia,Thailand,Constitutional Monarchy,THA,East Asia & Pacific,Upper middle income
Asia,Turkey,Republic,TUR,Europe & Central Asia,Upper middle income
Asia,Turkmenistan,Republic,TKM,Europe & Central Asia,Upper middle income
Asia,United Arab Emirates,Constitutional Monarchy,ARE,Middle East & North Africa,High income
Asia,Uzbekistan,Republic,UZB,Europe & Central Asia,Lower middle income
Asia,Vietnam,Republic,VNM,East Asia & Pacific,Lower middle income
Europe,Albania,Republic,ALB,Europe & Central Asia,Upper middle income
Europe,Andorra,Constitutional Monarchy,AND,Europe & Central Asia,High income
Europe,Armenia,Constitutional Monarchy,ARM,Europe & Central Asia,Upper middle income
Europe,Austria,Republic,AUT,Europe & Central Asia,High income
Europe,Azerbaijan,Republic,AZE,Europe & Central Asia,Upper middle income
Europe,Belarus,Republic,BLR,Europe & Central Asia,Upper middle income
Europe,Belgium,Constitutional Monarchy,BEL,Europe & Central Asia,High income
Europe,Bosnia and Herzegovina,Republic,BIH,Europe & Central Asia,Upper middle income
Europe,Bulgaria,Republic,BGR,Europe & Central Asia,Upper middle income
Europe,Croatia,Republic,HRV,Europe & Central Asia,High income
Europe,Cyprus,Republic,CYP,Europe & Central Asia,High income
Europe,Denmark,Constitutional Monarchy,DNK,Europe & Central Asia,High income
Europe,Estonia,Republic,EST,Europe & Central Asia,High income
Europe,Finland,Republic,FIN,Europe & Central Asia,High income
Europe,France,Republic,FRA,Europe & Central Asia,High income
Europe,Georgia,Republic,GEO,Europe & Central Asia,Upper middle income
Europe,Germany,Republic,DEU,Europe & Central Asia,High income
Europe,Greece,Republic,GRC,Europe & Central Asia,High income
Europe,Hungary,Republic,HUN,Europe & Central Asia,High income
Europe,Iceland,Republic,ISL,Europe & Central Asia,High income
Europe,Ireland,Republic,IRL,Europe & Central Asia,High income
Europe,Italy,Republic,ITA,Europe & Central Asia,High income
Europe,Latvia,Republic,LVA,Europe & Central Asia,High income
Europe,Lithuania,Republic,LTU,Europe & Central Asia,High income
Europe,Luxembourg,Constitutional Monarchy,LUX,Europe & Central Asia,High income
Europe,Malta,Republic,MLT,Middle East & North Africa,High income
Europe,Moldova,Republic,MDA,Europe & Central Asia,Lower middle income
Europe,Monaco,Constitutional Monarchy,MCO,Europe & Central Asia,High income
Europe,Montenegro,Republic,MNE,Europe & Central Asia,Upper middle income
Europe,Netherlands,Constitutional Monarchy,NLD,Europe & Central Asia,High income
Europe,Norway,Constitutional Monarchy,NOR,Europe & Central Asia,High income
Europe,Poland,Republic,POL,Europe & Central Asia,High income
Europe,Portugal,Republic,PRT,Europe & Central Asia,High income
Europe,Romania,Republic,ROU,Europe & Central Asia,High income
Europe,San Marino,Republic,SMR,Europe & Central Asia,High income
Europe,Serbia,Republic,SRB,Europe & Central Asia,Upper middle income
Europe,Slovenia,Republic,SVN,Europe & Central Asia,High income
Europe,Spain,Constitutional Monarchy,ESP,Europe & Central Asia,High income
Europe,Sweden,Constitutional Monarchy,SWE,Europe & Central Asia,High income
Europe,Switzerland,Republic,CHE,Europe & Central Asia,High income
Europe,Ukraine,Republic,UKR,Europe & Central Asia,Lower middle income
Europe,United Kingdom,Constitutional Monarchy,GBR,Europe & Central Asia,High income
North America,Antigua and Barbuda,Constitutional Monarchy,ATG,Latin America & Caribbean,High income
North America,Barbados,Constitutional Monarchy,BRB,Latin America & Caribbean,High income
North America,Belize,Constitutional Monarchy,BLZ,Latin America & Caribbean,Upper middle income
North America,Canada,Constitutional Monarchy,CAN,North America,High income
North America,Costa Rica,Republic,CRI,Latin America & Caribbean,Upper middle income
North America,Cuba,Republic,CUB,Latin America & Caribbean,Upper middle income
North America,Dominica,Republic,DMA,Latin America & Caribbean,Upper middle income
North America,Dominican Republic,Republic,DOM,Latin America & Caribbean,Upper middle income
North America,El Salvador,Republic,SLV,Latin America & Caribbean,Lower middle income
North America,Grenada,Constitutional Monarchy,GRD,Latin America & Caribbean,Upper middle income
North America,Guatemala,Republic,GTM,Latin America & Caribbean,Upper middle income
North America,Haiti,Republic,HTI,Latin America & Caribbean,Low income
North America,Honduras,Republic,HND,Latin America & Caribbean,Lower middle income
North America,Jamaica,Constitutional Monarchy,JAM,Latin America & Caribbean,Upper middle income
North America,Mexico,Republic,MEX,Latin America & Caribbean,Upper middle income
North America,Nicaragua,Republic,NIC,Latin America & Caribbean,Lower middle income
North America,Panama,Republic,PAN,Latin America & Caribbean,High income
North America,Trinidad and Tobago,Republic,TTO,Latin America & Caribbean,High income
North America,United States of America,Republic,USA,North America,High income
Oceania,Australia,Republic,AUS,East Asia & Pacific,High income
Oceania,Fiji,Republic,FJI,East Asia & Pacific,Upper middle income
Oceania,Kiribati,Republic,KIR,East Asia & Pacific,Lower middle income
Oceania,Marshall Islands,Republic,MHL,East Asia & Pacific,Upper middle income
Oceania,Nauru,Republic,NRU,East Asia & Pacific,High income
Oceania,New Zealand,Constitutional Monarchy,NZL,East Asia & Pacific,High income
Oceania,Palau,Republic,PLW,East Asia & Pacific,High income
Oceania,Papua New Guinea,Constitutional Monarchy,PNG,East Asia & Pacific,Lower middle income
Oceania,Samoa,Republic,WSM,East Asia & Pacific,Upper middle income
Oceania,Solomon Islands,Constitutional Monarchy,SLB,East Asia & Pacific,Lower middle income
Oceania,Tonga,Constitutional Monarchy,TON,East Asia & Pacific,Upper middle income
Oceania,Tuvalu,Constitutional Monarchy,TUV,East Asia & Pacific,Upper middle income
Oceania,Vanuatu,Republic,VUT,East Asia & Pacific,Lower middle income
South America,Argentina,Republic,ARG,Latin America & Caribbean,Upper middle income
South America,Bolivia,Republic,BOL,Latin America & Caribbean,Lower middle income
South America,Brazil,Republic,BRA,Latin America & Caribbean,Upper middle income
South America,Chile,Republic,CHL,Latin America & Caribbean,High income
South America,Colombia,Republic,COL,Latin America & Caribbean,Upper middle income
South America,Ecuador,Republic,ECU,Latin America & Caribbean,Upper middle income
South America,Guyana,Republic,GUY,Latin America & Caribbean,Upper middle income
South America,Paraguay,Republic,PRY,Latin America & Caribbean,Upper middle income
South America,Peru,Republic,PER,Latin America & Caribbean,Upper middle income
South America,Suriname,Republic,SUR,Latin America & Caribbean,Upper middle income
South America,Uruguay,Republic,URY,Latin America & Caribbean,High income
